date,hour,min_watts,max_watts,avg_watts,samples
2025-02-02,0,0,0.00,0.00,12
2025-02-02,1,0,0.00,0.00,12
2025-02-02,2,0,0.00,0.00,12
2025-02-02,3,0,0.00,0.00,12
2025-02-02,4,0,0.00,0.00,12
2025-02-02,5,0,0.00,0.00,12
2025-02-02,6,0,0.00,0.00,12
2025-02-02,7,0,0.00,0.00,12
2025-02-02,8,0,0.00,0.00,12
2025-02-02,9,0,0.00,0.00,12
2025-02-02,10,0,0.00,0.00,12
2025-02-02,11,0,0.00,0.00,12
2025-02-02,12,0,0.00,0.00,12
2025-02-02,13,0,0.00,0.00,12
2025-02-02,14,0,0.00,0.00,12
2025-02-02,15,0,0.00,0.00,12
2025-02-02,16,0,0.00,0.00,12
2025-02-02,17,0,0.00,0.00,12
2025-02-02,18,0,0.00,0.00,12
2025-02-02,19,0,0.00,0.00,12
2025-02-02,20,0,0.00,0.00,12
2025-02-02,21,0,0.00,0.00,12
2025-02-02,22,0,0.00,0.00,12
2025-02-02,23,0,0.00,0.00,12
